config,query,run_no,planning_ms,execution_ms,root_node,events_scan_node,plan_rows,actual_rows,est_ratio,actual_rows_per_loop,actual_loops,estimated_total_rows,normalized_est_ratio,parallel,events_parallel,workers_planned,workers_launched,shared_hit,root_shared_hit,shared_read,root_shared_read,io_read_ms,root_io_read_ms,temp_written,root_temp_written
c5_btree_covering,q3a_jsonb_common,3,0.168,1321.747,Aggregate,Seq Scan,1294846,3499377,2.7025430051141215,1166459,3,3107630.4,1.1260595854642175,True,True,2,2,404688,101172,699796,174949,1263.732,315.933,0,0
c5_btree_covering,q3a_jsonb_common,4,0.176,1316.589,Aggregate,Seq Scan,1294846,3499377,2.7025430051141215,1166459,3,3107630.4,1.1260595854642175,True,True,2,2,405072,101268,699412,174853,1213.376,303.344,0,0
c5_btree_covering,q3a_jsonb_common,5,0.156,1278.086,Aggregate,Seq Scan,1294846,3499377,2.7025430051141215,1166459,3,3107630.4,1.1260595854642175,True,True,2,2,405456,101364,699028,174757,1177.18,294.295,0,0
c5_btree_covering,q3b_jsonb_rare,1,0.146,955.641,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,406224,101556,698260,174565,1145.34,286.335,0,0
c5_btree_covering,q3b_jsonb_rare,2,0.176,963.665,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,406608,101652,697876,174469,1150.352,287.588,0,0
c5_btree_covering,q3b_jsonb_rare,3,0.117,983.862,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,406992,101748,697492,174373,1204.952,301.238,0,0
c5_btree_covering,q3b_jsonb_rare,4,0.235,971.508,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,407376,101844,697108,174277,1100.372,275.093,0,0
c5_btree_covering,q3b_jsonb_rare,5,0.166,1000.493,Aggregate,Seq Scan,412,50097,121.59466019417475,16699,3,988.8,50.664441747572816,True,True,2,2,407760,101940,696724,174181,1111.852,277.963,0,0
c6_brin_ts,q1_range_filter,1,0.133,183.886,Gather,Bitmap Heap Scan,44992,106272,2.3620199146514937,35424,3,107980.8,0.9841749644381224,True,True,2,2,117317,58634,0,0,0.0,0.0,0,0
c6_brin_ts,q1_range_filter,2,0.137,185.898,Gather,Bitmap Heap Scan,44992,106272,2.3620199146514937,35424,3,107980.8,0.9841749644381224,True,True,2,2,117317,58634,0,0,0.0,0.0,0,0
